Protein name,UniProt ID,Protein abbreviation,Super pathway,Sub pathway,Metabolite,HMDB,KEGG,Beta m1,SE m1,Nominal p-value m1,Beta m2,SE m2,Nominal p-value m2
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing",N1-methyladenosine,HMDB0003331,C02494,0.1638,0.0441,0.000202698974536952,0.1389,0.0467,0.00291113680280741
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing",N6-carbamoylthreonyladenosine,HMDB0041623,Not available,0.0845,0.0447,0.0587634342224674,0.0555,0.0511,0.277051055996014
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing",N6-methyladenosine,HMDB0004044,Not available,0.112,0.0453,0.013412064481348,0.1004,0.0456,0.0277662989400491
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing",N6-succinyladenosine,HMDB0000912,Not available,6e-04,0.0484,0.989944690825259,0.0057,0.0504,0.909412818002608
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Guanine containing",7-methylguanine,HMDB0000897,C02242,0.126,0.0443,0.00442382378636386,0.0962,0.0469,0.0401446709152278
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Guanine containing","N2,N2-dimethylguanosine",HMDB0004824,Not available,0.0995,0.0442,0.0243462961668632,0.0587,0.0495,0.235547589646228
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",2'-O-methylcytidine,Not available,Not available,0.0048,0.0443,0.913976473297532,0.0258,0.0442,0.559963440259684
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",3-methylcytidine,HMDB0240577,Not available,0.031,0.047,0.509830099421362,0.032,0.0462,0.489220829334419
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytidine,HMDB0000089,C00475,-0.0928,0.0468,0.0471774733446055,-0.0803,0.0466,0.0847934564287842
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytosine,HMDB0000630,C00380,0.0016,0.0453,0.971724792428123,0.0239,0.0449,0.594663402093086
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",N4-acetylcytidine,HMDB0005923,Not available,0.058,0.0446,0.192808542610372,0.0345,0.0456,0.44885472833055
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Orotate containing",dihydroorotate,HMDB03349,C00337,-0.0105,0.0464,0.82079913581111,-0.0538,0.0466,0.248261558685952
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotate,HMDB0000226,C00295,0.0456,0.0442,0.302690166181978,0.0358,0.0439,0.415113064166848
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotidine,HMDB0000788,Not available,0.1272,0.047,0.00680335047018721,0.0916,0.0495,0.0640175293526735
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Thymine containing",3-aminoisobutyrate,HMDB0002166,C05145,-0.1172,0.044,0.00777347856271615,-0.1188,0.0443,0.00728517943267648
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Thymine containing","5,6-dihydrothymine",HMDB0000079,C00906,0.1077,0.0446,0.0158466627013953,0.068,0.0455,0.134798704199522
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-deoxyuridine,HMDB0000012,C00526,-0.0591,0.0453,0.192309415833407,-0.056,0.0446,0.209287133099769
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-O-methyluridine,Not available,Not available,-0.097,0.0448,0.0302934384527522,-0.0919,0.0441,0.0372987351788798
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-(3-amino-3-carboxypropyl)uridine*,Not available,Not available,0.0488,0.0456,0.284417959902021,0.0103,0.0512,0.839991549450459
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-ureidopropionate,HMDB0000026,C02642,0.0356,0.0454,0.432037077404749,0.0552,0.0454,0.223725337252902
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",5-methyluridine (ribothymidine),HMDB0000884,Not available,-0.0938,0.0453,0.0384278858752027,-0.075,0.046,0.103087830204846
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",HMDB0000076,C00429,0.1191,0.0442,0.00709354304310295,0.086,0.0449,0.0553311863455042
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouridine",HMDB0000497,Not available,0.0377,0.0444,0.39646302398823,0.0178,0.0476,0.708566220762089
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",beta-alanine,HMDB0000056,C00099,0.1591,0.0449,0.000389309413019401,0.1118,0.0488,0.0219153180763672
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",N-acetyl-beta-alanine,HMDB0061880,C01073,0.0701,0.0451,0.120284262253461,0.0628,0.0447,0.159889561815471
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",pseudouridine,HMDB0000767,C02067,0.0409,0.0448,0.361376813218224,0.0464,0.0497,0.350900189541034
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uracil,HMDB0000300,C00106,-0.0321,0.0455,0.480136711196974,0.0028,0.0456,0.950373264658081
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uridine,HMDB0000296,C00299,-0.0091,0.0447,0.839161411637782,-0.01,0.0441,0.819980963591032
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,Oxidative Phosphorylation,phosphate,HMDB0001429,C00009,0.1035,0.047,0.0276066668121473,0.1111,0.0476,0.0194785098813299
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,aconitate [cis or trans],"HMDB0000958,HMDB000072","C004174,C02341",0.042,0.045,0.349956615461641,0.037,0.0465,0.426788753759594
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,alpha-ketoglutarate,HMDB0000208,C00026,-0.0021,0.0454,0.962716925713691,-0.009,0.0465,0.846008048074218
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,citraconate/glutaconate,"HMDB0000634,HMDB0000620","C02226,C02214",0.0603,0.0448,0.178648009715902,0.0634,0.045,0.159407686555825
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,citrate,HMDB0000094,C00158,0.0784,0.0452,0.0827317433906758,0.0776,0.0452,0.0862705402614738
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,fumarate,HMDB0000134,C00122,-0.0131,0.045,0.771384664693521,-0.0146,0.0451,0.746381230679261
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,malate,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",-0.0225,0.0451,0.618156038066858,-0.023,0.0451,0.610231871110048
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,succinate,HMDB0000254,C00042,0.037,0.0449,0.409008557955528,0.0362,0.0449,0.419579147847283
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Energy,TCA Cycle,succinylcarnitine (C4-DC),HMDB0061717,Not available,0.0569,0.0478,0.234428691418762,0.0529,0.0486,0.276464635478136
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",allantoin,HMDB0000462,"C02348,C01551,C02350",0.0567,0.0452,0.210186250256616,0.0557,0.0453,0.218387156922073
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",hypoxanthine,HMDB0000157,C00262,-0.035,0.0456,0.441847932348185,-0.0343,0.0456,0.451426225356015
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",inosine,HMDB0000195,C00294,-0.0114,0.0461,0.804751834466503,-0.0095,0.0462,0.836685281199379
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",N1-methylinosine,HMDB0002721,Not available,0.0433,0.0455,0.341927021194221,0.0382,0.047,0.415960267438325
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",urate,HMDB0000289,C00366,-0.0809,0.0552,0.142988616043014,-0.102,0.0581,0.078957510350375
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthine,HMDB0000292,C00385,0.1545,0.0454,0.000664522941978607,0.1566,0.0469,0.000838584762167471
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthosine,HMDB0000299,C01762,0.0701,0.0487,0.149907829536182,0.0682,0.0488,0.162196211090031
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing",adenine,HMDB0000034,C00147,0.0809,0.0508,0.110928013884223,0.0794,0.0509,0.118508197061465
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",HMDB0000058,C00575,-0.0251,0.0476,0.5978473182466,-0.0237,0.0477,0.619818562423684
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing",adenosine 5'-monophosphate (AMP),HMDB0000045,C00020,-0.0232,0.0459,0.613425389332844,-0.0216,0.046,0.639106458467572
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing",N1-methyladenosine,HMDB0003331,C02494,0.0129,0.0453,0.776179786289684,0.0077,0.0461,0.867517282850682
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing",N6-carbamoylthreonyladenosine,HMDB0041623,Not available,0.0025,0.0456,0.956649352457402,-0.0022,0.0462,0.961242981125375
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing",N6-methyladenosine,HMDB0004044,Not available,-0.0255,0.046,0.578781242777002,-0.0275,0.0461,0.551006290197724
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Adenine containing",N6-succinyladenosine,HMDB0000912,Not available,-0.0519,0.0488,0.288235595326905,-0.0502,0.049,0.305210316396654
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Guanine containing",7-methylguanine,HMDB0000897,C02242,-0.0133,0.0455,0.770261809090574,-0.0189,0.0462,0.682892256190131
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Purine Metabolism, Guanine containing","N2,N2-dimethylguanosine",HMDB0004824,Not available,-0.0159,0.0449,0.722843370439747,-0.0242,0.0463,0.60074244693444
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",2'-O-methylcytidine,Not available,Not available,0.0707,0.0449,0.115323046088905,0.0739,0.0451,0.100938245644971
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",3-methylcytidine,HMDB0240577,Not available,-0.0289,0.0478,0.545376888196372,-0.029,0.0478,0.543817249174214
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytidine,HMDB0000089,C00475,-4e-04,0.0478,0.993553146877097,0.0022,0.048,0.963949854858674
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytosine,HMDB0000630,C00380,0.0517,0.0461,0.261730159461416,0.0544,0.0463,0.239338238172122
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",N4-acetylcytidine,HMDB0005923,Not available,-0.0153,0.0454,0.736160260614901,-0.0177,0.0455,0.69819237395166
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Orotate containing",dihydroorotate,HMDB03349,C00337,0.076,0.0471,0.106707608648708,0.0728,0.0479,0.129009689460054
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotate,HMDB0000226,C00295,0.0222,0.045,0.620688174496894,0.0204,0.0451,0.650186445754385
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotidine,HMDB0000788,Not available,0.066,0.0481,0.170187299773838,0.0624,0.0489,0.201863844856185
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Thymine containing",3-aminoisobutyrate,HMDB0002166,C05145,-0.0927,0.045,0.0392541513972398,-0.0927,0.045,0.0394814009246594
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Thymine containing","5,6-dihydrothymine",HMDB0000079,C00906,0.0582,0.0453,0.198551347206523,0.0542,0.0465,0.243108539810547
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-deoxyuridine,HMDB0000012,C00526,0.0556,0.0458,0.224899243075829,0.0557,0.0458,0.224730336888304
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-O-methyluridine,Not available,Not available,-0.0219,0.0454,0.630328021457299,-0.0211,0.0454,0.64312706832931
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-(3-amino-3-carboxypropyl)uridine*,Not available,Not available,0.0374,0.0463,0.419132659931648,0.0338,0.0468,0.470386045501443
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-ureidopropionate,HMDB0000026,C02642,-0.0271,0.0461,0.556309292247657,-0.0249,0.0463,0.59011919147897
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",5-methyluridine (ribothymidine),HMDB0000884,Not available,0.0826,0.046,0.0722896671725701,0.088,0.0464,0.0575813797631612
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",HMDB0000076,C00429,0.0951,0.0449,0.034075344100762,0.0928,0.0457,0.0423230651715494
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouridine",HMDB0000497,Not available,-0.0265,0.045,0.555663611561724,-0.0284,0.0451,0.529010827536712
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",beta-alanine,HMDB0000056,C00099,0.0492,0.0462,0.286525853364661,0.0441,0.0483,0.362019900378891
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",N-acetyl-beta-alanine,HMDB0061880,C01073,0.0223,0.0457,0.624711537869168,0.0214,0.0457,0.638992703100414
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",pseudouridine,HMDB0000767,C02067,-0.0576,0.0452,0.202219743279738,-0.0569,0.0452,0.208656096864799
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uracil,HMDB0000300,C00106,-0.0857,0.0471,0.0688824922901823,-0.0831,0.0475,0.0801531225344883
A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uridine,HMDB0000296,C00299,0.0359,0.0462,0.437137566002194,0.0346,0.0463,0.454293440743784
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,Oxidative Phosphorylation,phosphate,HMDB0001429,C00009,0.1251,0.0435,0.00405887110630854,0.0908,0.043,0.0348035643404967
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,aconitate [cis or trans],"HMDB0000958,HMDB000072","C004174,C02341",-0.0444,0.0418,0.288805838861419,0.0117,0.042,0.781398447628372
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,alpha-ketoglutarate,HMDB0000208,C00026,-0.0601,0.0421,0.153582517123078,-0.0122,0.042,0.771142897448887
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,citraconate/glutaconate,"HMDB0000634,HMDB0000620","C02226,C02214",0.0209,0.0418,0.616768955463763,0.0017,0.0408,0.966669382398189
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,citrate,HMDB0000094,C00158,0.0652,0.042,0.121179390019789,0.0717,0.0409,0.0792420777189453
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,fumarate,HMDB0000134,C00122,0.006,0.0419,0.885976859433767,0.017,0.0408,0.676245036701206
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,malate,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",-0.0179,0.0419,0.669752883069519,-0.014,0.0407,0.731014365258866
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,succinate,HMDB0000254,C00042,0.1,0.0415,0.0159784582565752,0.1062,0.0403,0.00843692040915189
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Energy,TCA Cycle,succinylcarnitine (C4-DC),HMDB0061717,Not available,0.0292,0.0445,0.512079354864221,0.0734,0.0439,0.0944165092154803
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",allantoin,HMDB0000462,"C02348,C01551,C02350",0.0264,0.0421,0.529959082354883,0.034,0.041,0.40687695801591
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",hypoxanthine,HMDB0000157,C00262,0.0654,0.0423,0.121668497906189,0.0601,0.0411,0.143983182662855
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",inosine,HMDB0000195,C00294,0.0456,0.0428,0.286844614583823,0.0315,0.0417,0.450562143080154
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",N1-methylinosine,HMDB0002721,Not available,-0.0349,0.0423,0.410327663116977,0.0211,0.0425,0.618864739216324
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",urate,HMDB0000289,C00366,-0.136,0.0511,0.00776533969796822,-0.0571,0.0526,0.277080246293004
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthine,HMDB0000292,C00385,0.0293,0.0427,0.492389415018578,0.0905,0.0426,0.0338845331970439
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthosine,HMDB0000299,C01762,0.019,0.0453,0.675384011032523,0.0353,0.0442,0.424638994463643
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, Adenine containing",adenine,HMDB0000034,C00147,-0.0438,0.0473,0.354535788677005,-0.031,0.0461,0.501284793521488
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",HMDB0000058,C00575,0.0759,0.0442,0.0855570238043264,0.0648,0.043,0.131893337911182
Adhesion G-protein coupled receptor G2,Q8IZP9,ADGRG2,Nucleotide,"Purine Metabolism, Adenine containing",adenosine 5'-monophosphate (AMP),HMDB0000045,C00020,0.1314,0.0423,0.00189848547521509,0.1192,0.0413,0.00386515160580525
